ID,HP,MP,AT,MAT,SPD,DF,MDF,A-AV,M-AV,SPECIAL,UK,Element,Element Null,Status Resist,Target Arrow X,Target Arrow Y,Target Arrow Z,UK2,UK3,UK4,UK5,UK6,UK7,UK8,TotalStats,Name
91,400,0,44,58,60,80,140,0,0,0,0,1,0,99,2,13,0,8,5,2,1,10,0,0,322,Mermaid
92,42,0,11,10,50,140,60,0,0,0,0,128,0,99,3,4,0,8,4,2,7,3,0,0,221,Salamander
93,1280,0,76,108,60,140,160,0,0,0,0,32,0,99,6,20,0,10,2,2,5,14,0,0,484,Unicorn
94,24,0,7,5,60,120,40,0,0,0,0,4,0,99,0,9,0,8,5,1,1,8,0,0,172,Orc
95,450,0,42,44,70,70,180,0,0,0,0,4,0,99,0,8,0,9,3,2,1,8,0,0,336,Dark Elf
96,240,0,50,50,60,140,80,0,0,0,0,16,0,99,0,8,0,8,5,1,0,5,0,0,320,Baby Dragon
97,600,0,76,71,60,120,160,10,0,0,0,64,0,99,3,27,0,8,4,2,1,21,0,0,427,Harpy
98,640,0,71,91,70,140,180,5,5,0,0,16,0,99,1,7,0,8,2,1,1,4,0,0,482,Cute Cat
99,168,0,33,33,60,100,100,0,0,0,0,2,0,99,0,14,0,14,10,2,1,11,0,0,266,Arrow Shooter
100,40,0,9,9,60,100,100,0,0,0,0,128,0,99,2,9,0,11,5,2,1,6,0,0,218,Red Hot
101,266,0,67,107,75,100,250,50,0,0,0,4,0,99,254,18,0,10,4,2,255,14,0,0,524,Specter
102,380,0,28,25,80,100,120,10,0,128,0,4,0,255,3,11,0,8,6,2,2,8,0,0,273,Sandora Elite
103,180,0,21,21,50,100,100,0,0,0,0,128,0,99,2,12,0,8,5,2,1,9,0,0,242,Knight of Sandora
104,20,0,6,5,50,80,60,0,0,0,0,2,0,99,2,9,0,11,5,2,1,6,0,0,151,Slime
105,100,0,16,19,60,80,120,10,0,0,0,128,0,99,1,11,0,10,5,1,2,7,0,0,235,Fowl Fighter
106,140,0,23,27,80,80,120,0,0,0,0,4,0,99,255,7,0,8,5,0,0,5,0,0,250,Killer Bird
107,64,0,12,16,80,60,120,10,0,0,0,2,0,227,4,6,0,8,5,0,5,4,0,0,208,Plague Rat
108,64,0,25,27,70,70,120,20,0,0,0,64,0,227,0,17,0,8,5,1,0,13,0,0,242,Stinger
109,160,0,25,39,60,140,60,0,0,0,0,2,0,99,0,9,0,8,5,1,1,8,0,0,264,Piggy
110,280,0,35,44,80,60,100,20,0,0,0,1,0,99,0,8,0,11,1,1,1,6,0,0,239,Sea Piranha
111,128,0,40,57,80,80,120,20,0,0,0,2,0,227,0,8,0,8,3,1,0,6,0,0,297,Toad Stool
112,176,0,42,65,70,120,120,10,0,0,0,128,0,99,1,12,0,8,5,1,0,7,0,0,347,Mega Sea Dragon
113,328,0,60,42,50,100,60,0,0,0,0,2,0,227,255,7,0,11,0,3,2,5,0,0,262,Deadly Spider
114,160,0,68,48,60,160,100,0,0,0,0,1,0,99,0,18,0,8,4,2,0,9,0,0,376,Icicle Ball
115,32,0,8,15,70,80,120,20,0,0,0,64,0,99,0,17,0,17,5,0,0,13,0,0,223,Tricky Bat
116,450,0,58,58,60,120,120,0,0,0,0,4,0,99,2,13,1,8,5,2,1,11,0,0,356,Mr.Bone
117,300,0,48,44,50,120,80,0,0,0,0,2,0,99,0,10,0,8,2,3,1,7,0,0,292,Moss Dresser
118,532,0,83,58,50,120,100,10,0,128,0,4,0,127,1,22,0,8,5,3,2,16,0,0,361,Death Purger
119,280,0,66,54,60,220,100,0,0,0,0,2,0,99,253,7,0,9,4,2,1,4,0,0,440,Scorpion
120,1680,0,80,76,60,100,180,0,0,16,0,1,0,99,253,16,0,0,0,3,254,12,0,0,436,Trap Plant
121,640,0,67,65,70,120,160,0,0,0,0,1,0,99,255,14,0,8,3,2,255,10,0,0,412,Aqua King
122,680,0,67,67,60,100,100,20,0,16,0,64,0,99,3,18,0,0,0,3,4,11,0,0,334,Sky Chaser
123,1080,0,93,76,50,160,120,5,0,0,0,64,0,99,4,28,0,0,0,3,0,22,0,0,449,Air Combat
124,5,0,0,0,200,100,100,0,0,137,0,8,0,255,1,8,0,11,2,1,1,6,0,0,200,Treasure Jar
125,355,0,90,72,70,160,100,0,0,0,0,8,0,255,1,17,0,8,2,2,0,12,0,0,422,Human Hunter
126,1000,0,95,64,50,120,60,0,0,0,0,2,0,99,250,15,0,8,5,3,251,9,0,0,339,Mountain Ape
127,2400,0,71,93,60,120,200,0,0,128,0,4,0,255,0,16,0,0,0,1,1,10,0,0,484,Roulette Face
128,888,0,66,76,80,120,120,0,0,0,0,128,0,99,0,8,0,8,5,1,0,5,0,0,382,Swift Dragon
129,120,0,17,16,50,100,100,0,0,0,0,128,0,99,0,11,0,8,5,2,255,9,0,0,233,Hellena Warden
130,40,0,8,8,50,100,100,0,0,0,0,128,0,99,2,12,0,8,5,2,1,9,0,0,216,Sandora Soldier
131,51,0,9,9,60,100,100,0,0,0,0,128,0,99,2,12,0,8,5,2,1,9,0,0,218,Sandora Soldier
132,64,0,8,11,70,80,120,0,0,0,0,1,0,99,2,12,0,8,5,2,1,9,0,0,219,Sandora Soldier
133,150,0,20,16,60,130,80,0,0,0,0,128,0,99,2,13,1,8,5,2,1,9,0,0,246,Senior Warden
134,9,0,3,3,50,100,100,0,0,0,0,128,0,99,0,11,0,8,5,2,255,9,0,0,206,Hellena Warden
135,128,0,11,9,70,120,80,0,0,128,0,4,0,99,0,14,0,8,5,2,0,11,0,0,220,Commander
136,5,0,0,0,120,100,100,50,0,134,0,1,0,255,0,15,0,8,5,1,0,11,0,0,200,Blue Bird
137,5,0,0,0,120,100,100,0,50,137,0,128,0,255,0,15,0,8,5,1,0,11,0,0,200,Red Bird
138,4,0,0,0,120,100,100,50,20,131,0,2,0,255,0,15,0,8,5,1,0,11,0,0,200,Yellow Bird
139,6,0,0,0,200,100,100,0,0,140,0,8,0,127,1,8,0,11,2,1,1,6,0,0,200,Lucky Jar
140,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,??? (Terminator ?)
141,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,???
142,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,???
143,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,Madman
144,1040,0,86,74,60,100,80,0,0,0,0,2,0,255,2,9,0,11,5,2,1,6,0,0,340,Madman
145,1040,0,86,74,60,100,80,0,0,0,0,2,0,255,2,9,0,11,5,2,1,6,0,0,340,Madman
146,40,0,9,9,60,100,100,0,0,0,0,128,0,255,2,9,0,11,5,2,1,6,0,0,218,Red Hot
147,40,0,9,9,60,100,100,0,0,0,0,128,0,255,2,9,0,11,5,2,1,6,0,0,218,Red Hot
148,20,0,6,5,50,80,60,0,0,0,0,2,0,255,2,9,0,11,5,2,1,6,0,0,151,Madman
149,20,0,6,5,50,80,60,0,0,0,0,2,0,255,2,9,0,11,5,2,1,6,0,0,151,Madman
150,26,0,9,13,60,100,160,20,20,0,0,128,0,255,254,18,0,10,4,2,255,14,0,0,282,Fire Spirit
151,26,0,9,13,60,100,160,20,20,0,0,128,0,255,254,18,0,10,4,2,255,14,0,0,282,Fire Spirit
152,266,0,72,107,75,100,250,50,0,0,0,4,0,255,254,18,0,10,4,2,255,14,0,0,529,Specter
153,266,0,72,107,75,100,250,50,0,0,0,4,0,255,254,18,0,10,4,2,255,14,0,0,529,Specter
154,160,0,30,42,80,80,180,20,0,0,0,128,0,255,0,18,0,13,3,1,0,14,0,0,332,Will-o'-Wisp
155,160,0,30,42,80,80,180,20,0,0,0,128,0,255,0,18,0,13,3,1,0,14,0,0,332,Will-o'-Wisp
156,160,0,30,42,80,80,180,20,0,0,0,0,0,255,0,18,0,13,3,1,0,14,0,0,332,Will-o'-Wisp (No name)
157,24,0,8,11,80,80,120,20,0,0,0,128,0,99,0,8,0,22,1,1,1,6,0,0,219,Magma Fish
158,24,0,8,11,80,80,120,20,0,0,0,128,0,99,0,8,0,22,1,1,1,6,0,0,219,Magma Fish
159,24,0,8,11,80,80,120,20,0,0,0,0,0,99,0,8,0,22,1,1,1,6,0,0,219,Magma Fish (No name)
160,32,0,11,10,50,140,60,0,0,0,0,128,0,99,3,4,0,8,4,2,7,3,0,0,221,Salamander (No name)
161,32,0,11,10,50,140,60,0,0,0,0,128,0,99,3,4,0,8,4,2,7,3,0,0,221,Salamander (No name)
162,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,Crash
163,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,Crash
164,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
165,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
166,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
167,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
168,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
169,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
170,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
171,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
172,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
173,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
174,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
175,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
176,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
177,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
178,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
179,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
180,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
181,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
182,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
183,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
184,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
185,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
186,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
187,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
188,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
189,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
190,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
191,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
192,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
193,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
194,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
195,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
196,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
197,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
198,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
199,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
200,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
201,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
202,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
203,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
204,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
205,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
206,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
207,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
208,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
209,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
210,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
211,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
212,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
213,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
214,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
215,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
216,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
217,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
218,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
219,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
220,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
221,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
222,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
223,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
224,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
225,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
226,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
227,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
228,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
229,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
230,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
231,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
232,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
233,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
234,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
235,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
236,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,0,0,0,0,0,N/A
