EXP,Gold,Drop Rate,Item,UK1,UK2,Name
22,27,2,143,0,0,Crystal Golem
99,39,2,116,0,0,Rocky Turtle
17,6,10,197,0,0,Crocodile
36,21,8,203,0,0,Frilled Lizard
72,24,2,91,0,0,Magician Bogy
2000,120,8,245,0,0,Triceratops
165,54,8,243,0,0,Stern Fish
88,30,8,225,0,0,Forest Runner
10,6,10,203,0,0,Magma Fish
150,39,8,206,0,0,Scud Shark
63,24,8,203,0,0,Screw Shell
144,24,8,249,0,0,Potbelly
187,48,2,7,0,0,Loner Knight
55,15,2,60,0,0,Berserker
176,54,2,120,0,0,Professor
638,84,8,246,0,0,Psyche Druid
60,12,2,133,0,0,Gangster
50,18,8,197,0,0,Crafty Thief
153,39,8,205,0,0,Undead
60,21,2,0,0,0,Skeleton
48,12,0,255,0,0,Will-o'-Wisp
300,0,100,247,0,0,Cursed Jar
20,24,8,222,0,0,Man Eating Bud
126,36,15,225,0,0,Cactus
15,9,8,229,0,0,Mandrake
77,33,8,211,0,0,Mermaid
17,9,8,229,0,0,Salamander
380,51,2,233,0,0,Unicorn
10,6,10,202,0,0,Orc
80,36,8,204,0,0,Dark Elf
100,27,8,205,0,0,Baby Dragon
192,48,8,212,0,0,Harpy
162,51,2,100,0,0,Cute Cat
32,24,2,30,0,0,Arrow Shooter
14,6,8,205,0,0,Red Hot
170,30,8,218,0,0,Specter
30,30,8,209,0,0,Sandora Elite
24,15,20,203,0,0,Knight of Sandora
11,6,10,206,0,0,Slime
16,9,8,205,0,0,Fowl Fighter
36,12,8,212,0,0,Killer Bird
14,6,8,206,0,0,Plague Rat
38,12,8,206,0,0,Stinger
40,21,2,240,0,0,Piggy
56,15,8,198,0,0,Sea Piranha
72,18,8,206,0,0,Toad Stool
80,21,8,209,0,0,Mega Sea Dragon
90,39,8,206,0,0,Deadly Spider
121,21,8,211,0,0,Icicle Ball
12,6,8,205,0,0,Tricky Bat
108,30,2,1,0,0,Mr.Bone
72,18,8,231,0,0,Moss Dresser
144,24,8,221,0,0,Death Purger
154,21,8,217,0,0,Scorpion
304,42,8,243,0,0,Trap Plant
135,30,8,222,0,0,Aqua King
128,30,8,206,0,0,Sky Chaser
456,33,8,244,0,0,Air Combat
0,0,100,142,0,0,Treasure Jar
136,24,8,225,0,0,Human Hunter
198,42,10,222,0,0,Mountain Ape
360,42,8,247,0,0,Roulette Face
228,24,8,242,0,0,Swift Dragon
20,15,2,35,0,0,Hellena Warden
25,30,50,203,0,0,Sandora Soldier
14,9,8,203,0,0,Sandora Soldier
11,12,10,229,0,0,Sandora Soldier
24,21,2,20,0,0,Senior Warden
6,9,0,255,0,0,Hellena Warden
17,9,100,200,0,0,Commander
1000,0,0,255,0,0,Blue Bird
0,1000,100,88,0,0,Red Bird
0,300,10,118,0,0,Yellow Bird
1000,300,100,234,0,0,Lucky Jar
0,0,0,0,0,0,??? (Terminator ?)
0,0,0,0,0,0,???
0,0,0,0,0,0,???
0,0,0,0,0,0,Madman
165,24,8,206,0,0,Madman
165,24,8,206,0,0,Madman
14,6,8,205,0,0,Red Hot	
14,6,8,205,0,0,Red Hot
11,6,10,206,0,0,Madman
11,6,10,206,0,0,Madman
13,12,2,119,0,0,Fire Spirit
13,12,2,119,0,0,Fire Spirit
170,30,8,218,0,0,Specter
170,30,8,218,0,0,Specter
48,12,0,255,0,0,Will-o'-Wisp
48,12,0,255,0,0,Will-o'-Wisp
0,0,0,0,0,0,Will-o'-Wisp (No name)
10,6,10,203,0,0,Magma Fish
10,6,10,203,0,0,Magma Fish
0,0,0,0,0,0,Magma Fish (No name)
17,9,8,229,0,0,Salamander (No name)
17,9,8,229,0,0,Salamander (No name)
0,0,0,0,0,0,Crash
0,0,0,0,0,0,Crash
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,N/A
0,0,0,0,0,0,Crash
0,0,0,0,0,0,Crash
0,0,0,0,0,0,Crash
0,0,0,0,0,0,Crash
0,0,0,0,0,0,Crash
0,0,0,0,0,0,Crash
0,0,0,0,0,0,Crash
0,0,0,0,0,0,Crash
0,0,0,0,0,0,Crash
0,0,0,0,0,0,Crash
0,0,0,0,0,0,Crash
0,0,0,0,0,0,Crash
0,0,0,0,0,0,Crash
0,0,0,0,0,0,Crash
0,0,0,0,0,0,Crash
0,0,0,255,0,0,Merchant
0,0,0,255,0,0,Master Tasman
0,0,0,255,0,0,Rose
20,20,100,195,0,0,Commander
2,3,100,203,0,0,Knight of Sandora
200,50,100,249,0,0,Sandora Elite
0,0,100,203,0,0,Hellena Warden
0,0,100,203,0,0,Auto Complete
300,50,100,112,0,0,Fruegel
2000,200,100,245,0,0,Fruegel
0,0,0,255,0,0,Rodriguez
0,0,0,255,0,0,Guftas
300,50,100,111,0,0,Kongol
2000,200,30,156,0,0,Kongol
3000,200,0,255,0,0,Emperor Doel
0,0,0,255,0,0,Auto Complete
0,0,0,255,0,0,Lloyd
12000,300,0,255,0,0,Lloyd
0,0,0,255,0,0,Auto Complete
0,0,0,255,0,0,Auto Complete
0,0,0,255,0,0,Auto Complete
0,0,8,197,0,0,Crafty Thief
0,0,100,244,0,0,Feyrbrand
0,0,0,255,0,0,???
0,0,0,255,0,0,Auto Complete
0,0,0,255,0,0,Crash
7000,250,100,243,0,0,Regole
0,0,0,255,0,0,Tentacle
0,0,0,255,0,0,Crash
0,0,0,255,0,0,Crash
10000,300,20,150,0,0,Divine Dragon
0,0,100,245,0,0,Divine Cannon
0,0,100,248,0,0,Divine Ball
0,0,0,255,0,0,Crash
1200,100,30,49,0,0,Greham
0,0,100,136,0,0,Shirley
0,0,0,255,0,0,Auto Complete
0,0,0,255,0,0,Auto Complete
0,0,0,255,0,0,Crash
0,0,0,255,0,0,Crash
6000,200,0,255,0,0,Lenus
0,0,50,85,0,0,Lenus
6000,300,100,138,0,0,Damia
6000,300,100,135,0,0,Syuveil
6000,300,100,140,0,0,Belzac
6000,300,100,139,0,0,Kanzas
2000,150,100,221,0,0,Mappi
0,0,25,42,0,0,Mappi
5000,200,25,81,0,0,Gehrich
0,0,0,255,0,0,Gorgaga
0,0,0,255,0,0,Serfius
0,0,0,255,0,0,Danton
0,0,0,255,0,0,Atlow
0,0,0,255,0,0,Freeze
0,0,0,255,0,0,Crash
600,100,100,203,0,0,Virage(head)
0,0,100,203,0,0,Virage(body)
0,0,100,205,0,0,Virage(arm)
4500,200,100,234,0,0,Virage(head)
0,0,0,255,0,0,Virage(arm)
0,0,0,255,0,0,Virage(body)
0,0,0,255,0,0,Freeze
0,0,0,255,0,0,Freeze
4000,200,100,233,0,0,S Virage(head)
0,0,0,255,0,0,S Virage(body)
0,0,0,255,0,0,S Virage(arm)
0,0,0,255,0,0,Crash
15000,300,0,255,0,0,S Virage(head)
0,0,0,255,0,0,S Virage(arm)
0,0,0,255,0,0,S Virage(body)
0,0,0,255,0,0,Freeze
0,0,0,255,0,0,Freeze
1500,100,30,133,0,0,Drake the Bandit
0,0,0,255,0,0,Auto Complete
0,0,0,255,0,0,Auto Complete
0,0,0,255,0,0,Freeze
2000,100,100,240,0,0,Jiango
0,0,0,255,0,0,???
0,0,0,255,0,0,???
400,50,100,127,0,0,Urobolus
800,100,100,134,0,0,Fire Bird
0,0,0,255,0,0,Auto Complete
9000,300,100,246,0,0,Grand Jewel
0,0,0,255,0,0,Virage(head)
0,0,0,255,0,0,Virage(body)
0,0,0,255,0,0,Virage(arm)
0,0,0,255,0,0,Kamuy's tree
6000,200,100,247,0,0,Ghost Commander
0,0,0,255,0,0,Ghost Knight
0,0,0,255,0,0,Mazo
8000,0,100,137,0,0,Kamuy
20000,10000,100,149,0,0,Faust
0,0,0,255,0,0,Faust
11000,250,100,45,0,0,Windigo
0,0,0,255,0,0,Auto Complete
0,0,0,255,0,0,Heart
6000,200,0,255,0,0,Polter Helm
0,0,100,230,0,0,Polter Armor
0,0,100,7,0,0,Polter Sword
8000,400,100,248,0,0,Auto Complete
6000,300,100,243,0,0,Auto Complete
4000,200,100,244,0,0,Auto Complete
0,0,0,255,0,0,Missing (Melbu Texture)
0,0,0,255,0,0,Missing (Tentacle Texture)
0,0,0,255,0,0,Lloyd & Melbu (Crash)
0,0,0,255,0,0,Freeze
0,0,0,255,0,0,Freeze
12000,300,0,255,0,0,Vector
0,0,0,255,0,0,Selebus
0,0,0,255,0,0,Kubila
0,0,100,233,0,0,Auto Complete
12000,300,50,25,0,0,Lavitzs Spirit
12000,300,100,39,0,0,Last Kraken
0,0,0,255,0,0,Auto Complete
0,0,0,255,0,0,Auto Complete
13000,300,100,233,0,0,Caterpillar
0,0,100,234,0,0,Auto Complete
0,0,100,229,0,0,Auto Complete
6000,0,0,255,0,0,Death Rose
0,0,0,255,0,0,Auto Complete
6000,0,0,255,0,0,Claire
0,0,0,255,0,0,Auto Complete
6000,0,100,12,0,0,Indora
0,0,0,255,0,0,Shadow Blade
0,0,0,255,0,0,Light Sword
12000,0,0,255,0,0,Michael
0,0,0,255,0,0,Michael (arm)
0,0,0,255,0,0,Michael (core)
6000,0,0,255,0,0,Dark Doel
6000,0,0,255,0,0,Archangel
0,0,0,255,0,0,Dragon Spirit
0,0,0,255,0,0,Dragon Spirit
0,0,0,255,0,0,Dragon Spirit
0,0,0,255,0,0,Missing Shana
20000,400,0,255,0,0,Zieg Feld
0,0,0,255,0,0,Melbu Frahma (1st)
0,0,0,255,0,0,Tentacle
0,0,0,255,0,0,Melbu Frahma (2nd)
0,0,0,255,0,0,Melbu Frahma (3rd)
0,0,0,255,0,0,Melbu Frahma (Bomb Star)
0,0,0,255,0,0,Melbu Frahma (4th)
0,0,0,255,0,0,Monster
0,0,0,255,0,0,Tentacle
0,0,0,255,0,0,Bomb Star (Melbu Frahma 1st)
0,0,0,255,0,0,Monster
0,0,0,255,0,0,Tentacle
0,0,0,255,0,0,Crash
