Speed,AT,MAT,DF,MDF,HP,Unused Addition Unlock Level,Total Stat Points,Total Stat Points No Speed,Name
40,212,101,189,94,7722,255,8358,8318,Lavitz Lv57
40,216,104,192,95,7898,255,8545,8505,Lavitz Lv58
40,220,106,196,96,8074,255,8732,8692,Lavitz Lv59
40,225,108,199,97,8250,0,8919,8879,Lavitz Lv60
0,0,0,0,0,0,255,0,0,Shana Lv0
65,2,3,2,3,24,255,99,34,Shana Lv1
65,3,6,3,6,48,255,131,66,Shana Lv2
65,5,9,5,9,72,255,165,100,Shana Lv3
65,7,12,6,12,96,255,198,133,Shana Lv4
65,8,16,8,15,120,255,232,167,Shana Lv5
65,10,19,9,19,144,255,266,201,Shana Lv6
65,12,22,11,22,168,255,300,235,Shana Lv7
65,13,26,12,25,192,255,333,268,Shana Lv8
65,15,29,14,28,216,255,367,302,Shana Lv9
65,17,32,15,31,240,255,400,335,Shana Lv10
65,19,36,17,35,264,255,436,371,Shana Lv11
65,20,41,18,41,330,255,515,450,Shana Lv12
65,21,47,20,47,396,255,596,531,Shana Lv13
65,22,53,22,53,463,255,678,613,Shana Lv14
65,23,58,24,59,529,255,758,693,Shana Lv15
65,24,64,25,65,596,255,839,774,Shana Lv16
65,26,70,27,71,662,255,921,856,Shana Lv17
65,27,75,29,77,728,255,1001,936,Shana Lv18
65,28,81,31,83,795,255,1083,1018,Shana Lv19
65,29,87,33,89,861,255,1164,1099,Shana Lv20
65,30,93,34,95,928,255,1245,1180,Shana Lv21
65,32,98,36,101,1017,255,1349,1284,Shana Lv22
65,33,104,37,106,1107,255,1452,1387,Shana Lv23
65,35,109,39,111,1196,255,1555,1490,Shana Lv24
65,36,115,40,117,1286,255,1659,1594,Shana Lv25
65,38,120,42,122,1376,255,1763,1698,Shana Lv26
65,39,126,43,128,1465,255,1866,1801,Shana Lv27
65,40,131,45,133,1555,255,1969,1904,Shana Lv28
65,42,137,46,139,1644,255,2073,2008,Shana Lv29
65,43,143,48,144,1734,255,2177,2112,Shana Lv30
65,45,148,50,150,1824,255,2282,2217,Shana Lv31
65,47,153,51,155,1919,255,2390,2325,Shana Lv32
65,48,158,53,160,2014,255,2498,2433,Shana Lv33
65,50,164,54,165,2109,255,2607,2542,Shana Lv34
65,52,169,56,170,2204,255,2716,2651,Shana Lv35
65,54,174,57,176,2300,255,2826,2761,Shana Lv36
65,56,179,59,181,2395,255,2935,2870,Shana Lv37
65,58,184,60,186,2490,255,3043,2978,Shana Lv38
65,60,189,62,191,2585,255,3152,3087,Shana Lv39
65,61,194,63,196,2680,255,3259,3194,Shana Lv40
65,63,200,65,202,2776,255,3371,3306,Shana Lv41
65,65,202,68,204,2983,255,3587,3522,Shana Lv42
65,67,205,72,207,3190,255,3806,3741,Shana Lv43
65,69,208,75,209,3397,255,4023,3958,Shana Lv44
65,71,211,79,212,3604,255,4242,4177,Shana Lv45
65,73,214,83,215,3812,255,4462,4397,Shana Lv46
65,76,217,86,217,4019,255,4680,4615,Shana Lv47
65,78,220,90,220,4226,255,4899,4834,Shana Lv48
65,80,223,93,222,4433,255,5116,5051,Shana Lv49
65,82,226,97,225,4640,255,5335,5270,Shana Lv50
65,84,229,101,228,4848,255,5555,5490,Shana Lv51
65,86,232,106,231,4976,255,5696,5631,Shana Lv52
65,88,235,111,234,5104,255,5837,5772,Shana Lv53
65,91,238,117,237,5232,255,5980,5915,Shana Lv54
65,93,240,122,240,5360,255,6120,6055,Shana Lv55
65,95,243,127,243,5488,255,6261,6196,Shana Lv56
65,97,246,133,246,5616,255,6403,6338,Shana Lv57
65,100,249,138,249,5744,255,6545,6480,Shana Lv58
65,102,252,143,252,5872,255,6686,6621,Shana Lv59
65,104,255,149,254,6000,255,6827,6762,Shana Lv60
0,0,0,0,0,0,14,0,0,Rose Lv0
55,3,6,5,5,21,255,95,40,Rose Lv1
55,6,10,8,7,42,255,128,73,Rose Lv2
55,9,14,11,10,63,255,162,107,Rose Lv3
55,13,18,14,12,84,255,196,141,Rose Lv4
55,16,22,17,15,105,255,230,175,Rose Lv5
55,20,27,19,17,126,255,264,209,Rose Lv6
55,23,31,22,20,147,255,298,243,Rose Lv7
55,27,35,25,22,168,255,332,277,Rose Lv8
55,30,39,28,25,189,255,366,311,Rose Lv9
55,34,43,31,27,210,255,400,345,Rose Lv10
55,37,48,34,30,231,255,435,380,Rose Lv11
55,39,49,35,32,289,255,499,444,Rose Lv12
55,40,50,37,34,347,15,563,508,Rose Lv13
55,42,51,38,37,405,255,628,573,Rose Lv14
55,44,53,39,39,463,255,693,638,Rose Lv15
55,46,54,40,41,521,255,757,702,Rose Lv16
55,47,55,41,43,579,255,820,765,Rose Lv17
55,49,57,43,45,637,16,886,831,Rose Lv18
55,51,58,44,47,695,255,950,895,Rose Lv19
55,52,59,45,50,753,255,1014,959,Rose Lv20
55,54,61,46,52,812,255,1080,1025,Rose Lv21
55,56,62,49,55,890,255,1167,1112,Rose Lv22
55,57,63,53,58,968,255,1254,1199,Rose Lv23
55,59,64,56,61,1047,255,1342,1287,Rose Lv24
55,61,66,59,64,1125,255,1430,1375,Rose Lv25
55,63,67,63,67,1204,255,1519,1464,Rose Lv26
55,64,68,66,70,1282,255,1605,1550,Rose Lv27
55,66,70,69,73,1360,255,1693,1638,Rose Lv28
55,68,71,72,76,1439,17,1781,1726,Rose Lv29
55,70,72,76,79,1517,255,1869,1814,Rose Lv30
55,71,74,79,82,1596,255,1957,1902,Rose Lv31
55,73,75,80,83,1679,255,2045,1990,Rose Lv32
55,75,77,81,84,1762,255,2134,2079,Rose Lv33
55,77,79,83,85,1845,255,2224,2169,Rose Lv34
55,79,80,84,86,1929,255,2313,2258,Rose Lv35
55,81,82,85,87,2012,255,2402,2347,Rose Lv36
55,83,84,86,88,2095,255,2491,2436,Rose Lv37
55,84,86,87,90,2179,255,2581,2526,Rose Lv38
55,86,87,88,91,2262,255,2669,2614,Rose Lv39
55,88,89,90,92,2345,255,2759,2704,Rose Lv40
55,90,91,91,93,2429,255,2849,2794,Rose Lv41
55,94,95,95,97,2610,255,3046,2991,Rose Lv42
55,98,99,99,101,2791,255,3243,3188,Rose Lv43
55,103,103,103,105,2972,255,3441,3386,Rose Lv44
55,107,107,108,109,3154,255,3640,3585,Rose Lv45
55,111,111,112,113,3335,255,3837,3782,Rose Lv46
55,115,115,116,117,3516,255,4034,3979,Rose Lv47
55,119,119,120,121,3698,255,4232,4177,Rose Lv48
55,124,123,124,125,3879,255,4430,4375,Rose Lv49
55,128,127,129,129,4060,255,4628,4573,Rose Lv50
55,132,131,133,133,4242,255,4826,4771,Rose Lv51
55,133,133,134,135,4354,255,4944,4889,Rose Lv52
55,134,135,135,136,4466,255,5061,5006,Rose Lv53
55,135,137,136,138,4578,255,5179,5124,Rose Lv54
55,136,139,137,140,4690,255,5297,5242,Rose Lv55
55,137,141,138,142,4802,255,5415,5360,Rose Lv56
55,139,143,139,144,4914,255,5534,5479,Rose Lv57
55,140,145,140,146,5026,255,5652,5597,Rose Lv58
55,141,147,141,148,5138,255,5770,5715,Rose Lv59
55,142,150,142,150,5250,0,5889,5834,Rose Lv60
0,0,0,0,0,0,29,0,0,Haschel Lv0
60,3,2,4,2,27,255,98,38,Haschel Lv1
60,5,3,6,3,54,255,131,71,Haschel Lv2
60,8,5,8,5,81,255,167,107,Haschel Lv3
60,11,6,10,6,108,255,201,141,Haschel Lv4
60,14,8,12,7,135,255,236,176,Haschel Lv5
60,17,10,15,9,162,255,273,213,Haschel Lv6
60,19,11,17,10,189,255,306,246,Haschel Lv7
60,22,13,19,11,216,255,341,281,Haschel Lv8
60,25,14,21,13,243,255,376,316,Haschel Lv9
60,28,16,23,14,270,255,411,351,Haschel Lv10
60,31,18,26,15,297,255,447,387,Haschel Lv11
60,34,20,28,19,371,255,532,472,Haschel Lv12
60,37,23,31,22,446,30,619,559,Haschel Lv13
60,40,26,33,25,521,255,705,645,Haschel Lv14
60,43,29,36,28,595,255,791,731,Haschel Lv15
60,47,32,38,32,670,255,879,819,Haschel Lv16
60,50,35,41,35,745,31,966,906,Haschel Lv17
60,53,38,43,38,819,255,1051,991,Haschel Lv18
60,56,41,46,41,894,255,1138,1078,Haschel Lv19
60,59,44,48,45,969,255,1225,1165,Haschel Lv20
60,63,47,51,48,1044,32,1313,1253,Haschel Lv21
60,66,48,53,49,1144,255,1420,1360,Haschel Lv22
60,69,49,56,50,1245,255,1529,1469,Haschel Lv23
60,72,49,58,51,1346,255,1636,1576,Haschel Lv24
60,75,50,61,52,1447,33,1745,1685,Haschel Lv25
60,78,51,63,53,1548,255,1853,1793,Haschel Lv26
60,81,52,66,54,1648,255,1961,1901,Haschel Lv27
60,84,53,68,55,1749,255,2069,2009,Haschel Lv28
60,87,53,71,56,1850,34,2177,2117,Haschel Lv29
60,90,54,73,56,1951,255,2284,2224,Haschel Lv30
60,94,55,76,57,2052,255,2394,2334,Haschel Lv31
60,97,59,78,62,2159,255,2515,2455,Haschel Lv32
60,100,64,81,66,2266,255,2637,2577,Haschel Lv33
60,103,68,83,70,2373,255,2757,2697,Haschel Lv34
60,106,73,86,74,2480,255,2879,2819,Haschel Lv35
60,109,77,88,78,2587,255,2999,2939,Haschel Lv36
60,112,81,91,82,2694,255,3120,3060,Haschel Lv37
60,115,86,93,87,2801,255,3242,3182,Haschel Lv38
60,118,90,96,91,2908,255,3363,3303,Haschel Lv39
60,121,95,98,95,3015,255,3484,3424,Haschel Lv40
60,125,99,101,99,3123,255,3607,3547,Haschel Lv41
60,128,100,103,100,3356,255,3847,3787,Haschel Lv42
60,131,101,105,101,3589,255,4087,4027,Haschel Lv43
60,134,101,108,102,3822,255,4327,4267,Haschel Lv44
60,137,102,110,103,4055,255,4567,4507,Haschel Lv45
60,140,103,113,103,4288,255,4807,4747,Haschel Lv46
60,143,104,115,104,4521,255,5047,4987,Haschel Lv47
60,146,104,118,105,4754,255,5287,5227,Haschel Lv48
60,149,105,120,106,4987,255,5527,5467,Haschel Lv49
60,152,106,123,107,5220,255,5768,5708,Haschel Lv50
60,156,107,125,108,5454,255,6010,5950,Haschel Lv51
60,159,111,128,112,5598,255,6168,6108,Haschel Lv52
60,163,116,131,117,5742,255,6329,6269,Haschel Lv53
60,166,120,133,121,5886,255,6486,6426,Haschel Lv54
60,170,125,136,126,6030,255,6647,6587,Haschel Lv55
60,173,130,139,130,6174,255,6806,6746,Haschel Lv56
60,177,134,141,135,6318,255,6965,6905,Haschel Lv57
60,180,139,144,139,6462,255,7124,7064,Haschel Lv58
60,184,143,147,144,6606,255,7284,7224,Haschel Lv59
60,188,148,150,148,6750,0,7444,7384,Haschel Lv60
0,0,0,0,0,0,8,0,0,Albert Lv0
40,3,2,4,2,35,255,86,46,Albert Lv1
40,6,3,7,3,67,255,126,86,Albert Lv2
40,13,4,10,4,100,255,171,131,Albert Lv3
40,15,6,13,5,133,9,212,172,Albert Lv4
40,16,7,16,6,166,255,251,211,Albert Lv5
40,20,8,19,7,199,10,293,253,Albert Lv6
40,23,10,22,7,231,255,333,293,Albert Lv7
40,27,11,25,8,264,255,375,335,Albert Lv8
40,30,13,28,9,297,255,417,377,Albert Lv9
40,34,14,31,10,330,11,459,419,Albert Lv10
40,37,15,34,11,363,255,500,460,Albert Lv11
40,41,17,37,12,454,12,601,561,Albert Lv12
40,45,18,41,13,545,255,702,662,Albert Lv13
40,48,20,44,14,636,255,802,762,Albert Lv14
40,52,22,47,15,728,255,904,864,Albert Lv15
40,56,23,51,16,819,255,1005,965,Albert Lv16
40,60,25,54,17,910,255,1106,1066,Albert Lv17
40,63,27,57,18,1002,255,1207,1167,Albert Lv18
40,67,28,61,19,1093,255,1308,1268,Albert Lv19
40,71,30,64,20,1184,255,1409,1369,Albert Lv20
40,75,31,67,21,1276,255,1510,1470,Albert Lv21
40,78,33,71,24,1399,255,1645,1605,Albert Lv22
40,82,35,74,27,1522,255,1780,1740,Albert Lv23
40,86,37,77,29,1645,255,1914,1874,Albert Lv24
40,90,39,81,32,1768,255,2050,2010,Albert Lv25
40,93,41,84,35,1892,255,2185,2145,Albert Lv26
40,97,43,87,37,2015,255,2319,2279,Albert Lv27
40,101,45,91,40,2138,255,2455,2415,Albert Lv28
40,105,47,94,43,2261,255,2590,2550,Albert Lv29
40,108,48,97,45,2384,255,2722,2682,Albert Lv30
40,112,50,101,48,2508,255,2859,2819,Albert Lv31
40,116,52,104,49,2638,255,2999,2959,Albert Lv32
40,120,54,107,50,2769,255,3140,3100,Albert Lv33
40,123,55,111,51,2900,255,3280,3240,Albert Lv34
40,127,57,114,52,3031,255,3421,3381,Albert Lv35
40,131,59,117,53,3162,255,3562,3522,Albert Lv36
40,135,61,121,54,3293,255,3704,3664,Albert Lv37
40,138,62,124,55,3424,255,3843,3803,Albert Lv38
40,142,64,127,57,3555,255,3985,3945,Albert Lv39
40,146,66,131,58,3686,255,4127,4087,Albert Lv40
40,150,68,134,59,3817,255,4268,4228,Albert Lv41
40,153,70,137,61,4101,255,4562,4522,Albert Lv42
40,157,72,141,64,4386,255,4860,4820,Albert Lv43
40,161,74,144,67,4671,255,5157,5117,Albert Lv44
40,165,76,147,70,4956,255,5454,5414,Albert Lv45
40,168,78,151,73,5241,255,5751,5711,Albert Lv46
40,172,80,154,76,5526,255,6048,6008,Albert Lv47
40,176,82,157,79,5811,255,6345,6305,Albert Lv48
40,180,84,161,82,6096,255,6643,6603,Albert Lv49
40,183,86,164,85,6381,255,6939,6899,Albert Lv50
40,187,88,167,87,6666,255,7235,7195,Albert Lv51
40,191,90,171,88,6842,255,7422,7382,Albert Lv52
40,195,92,174,89,7018,255,7608,7568,Albert Lv53
40,200,94,178,90,7194,255,7796,7756,Albert Lv54
40,204,97,182,91,7370,255,7984,7944,Albert Lv55
40,208,99,185,93,7546,255,8171,8131,Albert Lv56
40,212,101,189,94,7722,255,8358,8318,Albert Lv57
40,216,104,192,95,7898,255,8545,8505,Albert Lv58
40,220,106,196,96,8074,255,8732,8692,Albert Lv59
40,225,108,199,97,8250,0,8919,8879,Albert Lv60
0,0,0,0,0,0,23,0,0,Meru Lv0
70,2,3,2,4,18,255,99,29,Meru Lv1
70,3,6,3,7,36,255,125,55,Meru Lv2
70,5,9,4,10,54,255,152,82,Meru Lv3
70,7,12,6,13,72,255,180,110,Meru Lv4
70,8,15,7,16,90,255,206,136,Meru Lv5
70,10,19,9,20,108,255,236,166,Meru Lv6
70,12,22,10,23,126,255,263,193,Meru Lv7
70,13,25,11,26,144,255,289,219,Meru Lv8
70,15,28,13,29,162,255,317,247,Meru Lv9
70,17,31,14,32,180,255,344,274,Meru Lv10
70,19,34,16,36,198,255,373,303,Meru Lv11
70,21,38,17,39,247,255,432,362,Meru Lv12
70,23,42,19,42,297,255,493,423,Meru Lv13
70,25,46,21,45,347,255,554,484,Meru Lv14
70,27,50,23,48,397,255,615,545,Meru Lv15
70,29,54,25,51,447,255,676,606,Meru Lv16
70,31,58,27,54,496,255,736,666,Meru Lv17
70,33,62,29,57,546,255,797,727,Meru Lv18
70,35,66,31,60,596,255,858,788,Meru Lv19
70,37,70,33,63,646,24,919,849,Meru Lv20
70,40,74,34,66,696,255,980,910,Meru Lv21
70,41,77,37,69,763,255,1057,987,Meru Lv22
70,42,81,39,73,830,255,1135,1065,Meru Lv23
70,43,85,41,76,897,255,1212,1142,Meru Lv24
70,44,88,43,80,964,25,1289,1219,Meru Lv25
70,45,92,45,84,1032,255,1368,1298,Meru Lv26
70,46,96,47,87,1099,255,1445,1375,Meru Lv27
70,47,99,49,91,1166,255,1522,1452,Meru Lv28
70,48,103,52,94,1233,26,1600,1530,Meru Lv29
70,49,107,54,98,1300,255,1678,1608,Meru Lv30
70,50,111,56,102,1368,255,1757,1687,Meru Lv31
70,52,114,58,105,1439,255,1838,1768,Meru Lv32
70,53,118,60,108,1510,27,1919,1849,Meru Lv33
70,54,122,62,111,1582,255,2001,1931,Meru Lv34
70,56,126,65,114,1653,255,2084,2014,Meru Lv35
70,57,130,67,117,1725,255,2166,2096,Meru Lv36
70,58,133,69,120,1796,255,2246,2176,Meru Lv37
70,60,137,71,123,1867,255,2328,2258,Meru Lv38
70,61,141,73,126,1939,255,2410,2340,Meru Lv39
70,62,145,75,129,2010,255,2491,2421,Meru Lv40
70,64,149,77,133,2082,255,2575,2505,Meru Lv41
70,68,152,80,136,2237,255,2743,2673,Meru Lv42
70,72,156,82,140,2392,255,2912,2842,Meru Lv43
70,76,160,85,143,2548,255,3082,3012,Meru Lv44
70,80,163,87,147,2703,255,3250,3180,Meru Lv45
70,85,167,90,150,2859,255,3421,3351,Meru Lv46
70,89,171,92,154,3014,255,3590,3520,Meru Lv47
70,93,174,94,157,3169,255,3757,3687,Meru Lv48
70,97,178,97,161,3325,255,3928,3858,Meru Lv49
70,101,182,99,164,3480,255,4096,4026,Meru Lv50
70,105,186,102,168,3636,255,4267,4197,Meru Lv51
70,110,190,104,171,3732,255,4377,4307,Meru Lv52
70,115,194,106,174,3828,255,4487,4417,Meru Lv53
70,119,199,108,178,3924,255,4598,4528,Meru Lv54
70,124,203,110,181,4020,255,4708,4638,Meru Lv55
70,129,207,112,184,4116,255,4818,4748,Meru Lv56
70,133,212,114,188,4212,255,4929,4859,Meru Lv57
70,138,216,116,191,4308,255,5039,4969,Meru Lv58
70,143,220,118,195,4404,255,5150,5080,Meru Lv59
70,147,225,120,198,4500,255,5260,5190,Meru Lv60
0,0,0,0,0,0,19,0,0,Kongol Lv0
30,4,2,4,3,45,255,88,58,Kongol Lv1
30,9,3,8,4,83,255,137,107,Kongol Lv2
30,14,4,13,5,121,255,187,157,Kongol Lv3
30,18,5,17,6,160,255,236,206,Kongol Lv4
30,23,6,22,7,198,255,286,256,Kongol Lv5
30,28,7,27,8,237,255,337,307,Kongol Lv6
30,33,8,31,9,275,255,386,356,Kongol Lv7
30,38,9,36,10,313,255,436,406,Kongol Lv8
30,43,10,40,11,352,255,486,456,Kongol Lv9
30,48,11,45,12,390,255,536,506,Kongol Lv10
30,53,12,50,13,429,255,587,557,Kongol Lv11
30,57,13,55,14,536,255,705,675,Kongol Lv12
30,62,14,60,15,644,255,825,795,Kongol Lv13
30,66,15,65,16,752,255,944,914,Kongol Lv14
30,71,17,70,17,860,255,1065,1035,Kongol Lv15
30,76,18,76,18,968,255,1186,1156,Kongol Lv16
30,80,19,81,19,1076,255,1305,1275,Kongol Lv17
30,85,21,86,20,1184,255,1426,1396,Kongol Lv18
30,89,22,91,21,1292,255,1545,1515,Kongol Lv19
30,94,23,96,22,1400,255,1665,1635,Kongol Lv20
30,99,25,102,23,1508,255,1787,1757,Kongol Lv21
30,103,26,107,24,1653,20,1943,1913,Kongol Lv22
30,108,27,112,25,1799,255,2101,2071,Kongol Lv23
30,113,28,117,26,1944,255,2258,2228,Kongol Lv24
30,118,29,122,27,2090,255,2416,2386,Kongol Lv25
30,123,31,128,28,2236,255,2576,2546,Kongol Lv26
30,128,32,133,29,2381,255,2733,2703,Kongol Lv27
30,133,33,138,30,2527,255,2891,2861,Kongol Lv28
30,138,34,143,31,2672,21,3048,3018,Kongol Lv29
30,143,35,148,32,2818,255,3206,3176,Kongol Lv30
30,148,37,154,34,2964,255,3367,3337,Kongol Lv31
30,153,38,157,35,3118,255,3531,3501,Kongol Lv32
30,159,39,161,36,3273,255,3698,3668,Kongol Lv33
30,164,40,165,38,3428,255,3865,3835,Kongol Lv34
30,170,42,168,39,3582,255,4031,4001,Kongol Lv35
30,176,43,172,41,3737,255,4199,4169,Kongol Lv36
30,181,44,176,42,3892,255,4365,4335,Kongol Lv37
30,187,46,179,44,4046,255,4532,4502,Kongol Lv38
30,192,47,183,45,4201,255,4698,4668,Kongol Lv39
30,198,48,187,47,4356,255,4866,4836,Kongol Lv40
30,204,50,190,48,4511,255,5033,5003,Kongol Lv41
30,206,51,194,50,4847,255,5378,5348,Kongol Lv42
30,209,52,197,51,5184,255,5723,5693,Kongol Lv43
30,211,53,201,53,5521,255,6069,6039,Kongol Lv44
30,214,54,205,54,5857,255,6414,6384,Kongol Lv45
30,217,56,208,56,6194,255,6761,6731,Kongol Lv46
30,219,57,212,58,6531,255,7107,7077,Kongol Lv47
30,222,58,215,59,6867,255,7451,7421,Kongol Lv48
30,224,59,219,61,7204,255,7797,7767,Kongol Lv49
30,227,60,223,63,7541,255,8144,8114,Kongol Lv50
30,230,62,226,64,7878,255,8490,8460,Kongol Lv51
30,232,63,229,66,8086,255,8706,8676,Kongol Lv52
30,235,64,232,68,8294,255,8923,8893,Kongol Lv53
30,238,66,236,69,8502,255,9141,9111,Kongol Lv54
30,241,67,239,71,8710,255,9358,9328,Kongol Lv55
30,243,69,242,73,8918,255,9575,9545,Kongol Lv56
30,246,70,245,74,9126,255,9791,9761,Kongol Lv57
30,249,72,248,76,9334,255,10009,9979,Kongol Lv58
